Season,Conference,W,L,OT,P,ROW,HROW,RROW,P%,G/GP,GA/GP,5-5 F/A,PP%,PK%,S/GP,SA/GP,Sc 1%,Tr 1st%,Ld 1%,Ld 2%,OS%,OSB%,FO%,Team,PGP,PW,PL,POT,PG/GP,PGA/GP,P5-5 F/A,PPP,PPK,PS/GP,PSA/GP,PSc 1%,PTr 1st%,PLd 1%,PLd 2%,POS%,POSB%,PFO%,Playoffs,StanleyCup
2006-2007,East,22,48,12,56,21,9,12,0.341,2.6,3.62,0.66,14.1,84.5,28.8,32.6,0.5,0.135,0.625,0.923,0.281,0.265,47.1,PHILADELPHIA,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,31,46,5,67,26,15,11,0.409,2.57,3.44,0.78,16.5,78.4,28.3,30.1,0.621,0.245,0.714,0.792,0.5,0.292,52.7,PHOENIX,,,,,,,,,,,,,,,,,,,0,0
2006-2007,East,47,24,11,105,37,21,16,0.64,3.26,2.93,1.04,20.3,82.1,28.9,30.9,0.674,0.462,0.676,0.848,0.645,0.543,47,PITTSBURGH,5,1,4,0,2,3.6,0.55,14.3,75,22,30.2,0.5,0,1,0,0,0.2,46,1,0
2006-2007,West,51,26,5,107,49,25,24,0.652,3.12,2.4,1.12,22.4,83.3,28.6,26.2,0.833,0.4,0.853,0.891,0.66,0.536,51.1,SAN JOSE,11,6,5,1,2.27,2.46,1.31,7,83,27.9,29.5,0.5,0.667,0.571,0.667,0.5,0.571,49.7,1,0
2006-2007,West,34,35,13,81,28,16,12,0.494,2.54,3.02,1.03,12.1,80,26.9,28.9,0.568,0.237,0.5,0.767,0.394,0.444,51.1,ST LOUIS,,,,,,,,,,,,,,,,,,,0,0
2006-2007,East,44,33,5,93,34,18,16,0.567,2.96,3.16,0.89,18.4,78.4,29.5,27.2,0.683,0.39,0.769,0.815,0.604,0.424,48.9,TAMPA BAY,6,2,4,1,2.33,3.17,0.73,15.4,75,28,28.2,1,0,1,0,0,0.667,48.8,1,0
2006-2007,East,40,31,11,91,36,20,16,0.555,3.1,3.2,1.11,17.7,78.5,32.7,28.4,0.659,0.317,0.769,0.8,0.526,0.421,51.9,TORONTO,,,,,,,,,,,,,,,,,,,0,0
2006-2007,West,49,26,7,105,44,22,22,0.64,2.65,2.4,1,17.2,86.9,29.3,29.2,0.773,0.395,0.778,0.833,0.641,0.538,49.2,VANCOUVER,12,5,7,3,1.75,2.17,0.83,6,89.5,32.2,36.5,0.6,0.286,0,0.5,0.667,0.167,47,1,0
2006-2007,East,28,40,14,70,27,16,11,0.427,2.85,3.35,0.85,16.4,80.2,28,33.3,0.568,0.156,0.594,0.778,0.25,0.362,49.8,WASHINGTON,,,,,,,,,,,,,,,,,,,0,0
2007-2008,West,47,27,8,102,39,21,18,0.622,2.4,2.24,1.17,16.6,83.1,27.3,28,0.788,0.429,0.821,0.909,0.694,0.439,50.2,ANAHEIM,6,2,4,0,2.17,3.33,0.7,20.8,73.7,23,31.3,0.667,0,1,0.667,0,0.4,49.5,1,0
2007-2008,East,34,40,8,76,25,13,12,0.463,2.52,3.24,0.74,16.5,78.8,25.8,33.9,0.588,0.292,0.7,0.727,0.6,0.379,51.8,WINNIPEG(ATLANTA),,,,,,,,,,,,,,,,,,,0,0
2007-2008,East,41,29,12,94,35,18,17,0.573,2.51,2.62,1.05,17.6,78.6,28.5,30.5,0.714,0.275,0.724,0.886,0.486,0.477,49.1,BOSTON,7,3,4,1,2.14,2.71,0.77,10,90.9,28.6,31.6,1,0.333,1,0,0.667,0.25,49.5,1,0
2007-2008,East,39,31,12,90,35,19,16,0.549,3.06,2.84,1.09,18,83.2,30.2,28.4,0.676,0.311,0.792,0.8,0.523,0.394,48.6,BUFFALO,,,,,,,,,,,,,,,,,,,0,0
2007-2008,West,42,30,10,94,39,20,19,0.573,2.76,2.73,1.07,16.8,81.5,28.2,28.5,0.659,0.342,0.773,0.8,0.486,0.525,49.5,CALGARY,7,3,4,0,2.43,2.71,0.92,27.3,80.6,23.1,32.7,0.5,0.333,0.667,0.667,0.5,0.4,46.4,1,0
2007-2008,East,43,33,6,92,41,24,17,0.561,3.05,3,1.09,18.8,78.9,32.5,28.9,0.743,0.362,0.793,0.865,0.596,0.37,49.4,CAROLINA,,,,,,,,,,,,,,,,,,,0,0
2007-2008,West,40,34,8,88,35,21,14,0.537,2.85,2.82,1.05,15.9,82.1,28,28.6,0.644,0.297,0.8,0.931,0.425,0.5,52.3,CHICAGO,,,,,,,,,,,,,,,,,,,0,0
2007-2008,West,44,31,7,95,37,23,14,0.579,2.73,2.63,1.16,14.6,81.4,28.6,27.3,0.811,0.311,0.778,0.875,0.596,0.452,47.8,COLORADO,10,4,6,2,2.6,3.3,0.74,20.8,77.3,28.6,35.1,0.5,0,0.5,0.6,0.5,0.375,48.7,1,0
2007-2008,West,34,36,12,80,31,18,13,0.488,2.32,2.56,0.9,14.9,83.3,29,27.4,0.676,0.2,0.778,0.857,0.4,0.441,52.3,COLUMBUS,,,,,,,,,,,,,,,,,,,0,0
2007-2008,West,45,30,7,97,40,21,19,0.591,2.89,2.49,1.11,18.1,85.6,26.7,26.1,0.625,0.476,0.704,0.775,0.636,0.472,50.4,DALLAS,18,10,8,1,2.5,2.28,1.18,20,82.9,27.2,28.4,0.75,0.4,1,0.857,0.571,0.6,45.6,1,0
2007-2008,West,54,21,7,115,49,25,24,0.701,3.07,2.18,1.41,20.7,84,34.4,23.5,0.86,0.344,0.897,0.9,0.714,0.25,53.3,DETROIT,22,16,6,1,3.27,1.86,1.62,18.9,85.7,36.5,23.6,0.929,0.375,0.929,1,0.75,0,54.6,1,1
2007-2008,West,41,35,6,88,26,15,11,0.537,2.68,3.01,0.86,16.6,84.7,26.3,31.4,0.75,0.304,0.696,0.828,0.44,0.536,50.5,EDMONTON,,,,,,,,,,,,,,,,,,,0,0
2007-2008,East,38,35,9,85,33,16,17,0.518,2.57,2.68,0.97,19.2,82.4,31.1,33.6,0.641,0.302,0.645,0.724,0.483,0.442,48.8,FLORIDA,,,,,,,,,,,,,,,,,,,0,0
2007-2008,West,32,43,7,71,27,15,12,0.433,2.76,3.21,0.81,17.4,78,28.6,32,0.515,0.306,0.565,0.917,0.375,0.407,47.8,LOS ANGELES,,,,,,,,,,,,,,,,,,,0,0
