Season,Conference,W,L,OT,P,ROW,HROW,RROW,P%,G/GP,GA/GP,5-5 F/A,PP%,PK%,S/GP,SA/GP,Sc 1%,Tr 1st%,Ld 1%,Ld 2%,OS%,OSB%,FO%,Team,PGP,PW,PL,POT,PG/GP,PGA/GP,P5-5 F/A,PPP,PPK,PS/GP,PSA/GP,PSc 1%,PTr 1st%,PLd 1%,PLd 2%,POS%,POSB%,PFO%,Playoffs,StanleyCup
2011-2012,East,34,37,11,79,27,16,11,0.482,2.39,3.06,0.74,18.5,80.5,29.4,30.1,0.575,0.262,0.64,0.679,0.415,0.405,48,NY ISLANDERS,,,,,,,,,,,,,,,,,,,0,0
2011-2012,East,51,24,7,109,47,25,22,0.665,2.71,2.22,1.14,15.7,86.2,28.5,27.8,0.814,0.41,0.778,0.909,0.682,0.556,50,NY RANGERS,20,10,10,3,2.15,2.05,1,17.8,84.1,29.3,27.8,0.818,0.111,0.6,1,0.455,0.556,48.4,1,0
2011-2012,East,41,31,10,92,35,19,16,0.561,2.96,2.88,1.05,18.2,81.6,31.4,32,0.625,0.381,0.696,0.852,0.472,0.533,50.1,OTTAWA,7,3,4,0,1.86,2,0.89,15.4,84.4,31.1,29.7,0.5,0.4,0.5,1,0.25,0.667,54.4,1,0
2011-2012,East,47,26,9,103,43,21,22,0.628,3.17,2.74,1.13,19.7,81.8,32.2,28.4,0.75,0.435,0.867,0.892,0.564,0.593,48.3,PHILADELPHIA,11,5,6,1,3.73,4,0.73,35.7,72.3,27.2,31.5,0.143,1,0.5,0.667,0.667,0.375,50.1,1,0
2011-2012,East,42,27,13,97,36,20,16,0.591,2.56,2.37,1.11,13.6,85.5,29.6,31.6,0.767,0.231,0.846,0.971,0.452,0.556,50.2,PHOENIX,16,9,7,3,2.31,2.19,1.08,14,90.8,26.7,37.7,0.7,0.333,0.667,0.778,0.5,0.571,51.4,1,0
2011-2012,West,51,25,6,108,42,24,18,0.659,3.33,2.66,1.17,19.7,87.8,33.9,27.4,0.745,0.457,0.706,0.914,0.586,0.708,50.4,PITTSBURGH,6,2,4,1,4.33,5,1.25,31,47.8,30.2,27.5,0,0.667,0.333,0.667,0.25,0.5,51.9,1,0
2011-2012,East,43,29,10,96,34,20,14,0.585,2.67,2.5,1.1,21.1,76.9,33.8,28.6,0.757,0.333,0.789,0.853,0.508,0.591,53.3,SAN JOSE,5,1,4,0,1.6,2.8,0.71,11.8,66.7,28.8,30.4,0.5,0,0,0.5,0,0.5,49,1,0
2011-2012,West,49,22,11,109,45,29,16,0.665,2.51,1.89,1.34,16.7,85.8,30.6,26.7,0.756,0.405,0.75,0.895,0.6,0.615,50.4,ST LOUIS,9,4,5,1,2.22,2.56,0.87,17.1,92.1,28.2,26.1,0.75,0.2,1,1,0.25,0.667,51.5,1,0
2011-2012,West,38,36,8,84,35,24,11,0.512,2.83,3.39,0.93,15.2,79.2,27.2,30.5,0.628,0.282,0.696,0.889,0.444,0.455,48.6,TAMPA BAY,,,,,,,,,,,,,,,,,,,0,0
2011-2012,East,35,37,10,80,31,17,14,0.488,2.77,3.16,0.86,18.4,77.3,28.3,30.8,0.575,0.286,0.808,0.889,0.313,0.511,51.6,TORONTO,,,,,,,,,,,,,,,,,,,0,0
2011-2012,West,51,22,9,111,43,24,19,0.677,2.94,2.33,1.19,19.8,86,31.5,30.8,0.75,0.346,0.806,0.914,0.591,0.639,52.2,VANCOUVER,5,1,4,1,1.6,2.4,0.83,14.3,88.5,34.4,33.2,0,0.333,0,0.5,0,0.333,51.8,1,0
2011-2012,East,42,32,8,92,38,24,14,0.561,2.66,2.76,1.01,16.7,81.6,28,30.2,0.69,0.325,0.821,0.962,0.5,0.51,50,WASHINGTON,14,7,7,4,2.07,2.14,1,18,87.5,27.6,32.8,0.875,0,0.8,1,0.25,0.6,50.9,1,0
2011-2012,West,37,35,10,84,33,23,10,0.512,2.7,2.95,0.99,17.9,80.1,30.1,30.1,0.641,0.279,0.818,0.813,0.459,0.442,49,WINNIPEG(ATLANTA),,,,,,,,,,,,,,,,,,,0,0
2012-2013,West,30,12,6,66,24,14,10,0.688,2.79,2.4,1.28,21.5,81.5,28.1,27.9,0.75,0.5,0.8,0.895,0.615,0.667,47.5,ANAHEIM,7,3,4,3,3,2.57,1.09,28,76,32.1,31.1,0.667,0.25,0,0.5,0.6,0,48.2,1,0
2012-2013,East,28,14,6,62,24,13,11,0.646,2.65,2.21,1.28,14.8,87.1,32.4,28.6,0.731,0.409,0.765,0.652,0.576,0.538,56.4,BOSTON,22,14,8,3,2.96,2.14,1.39,17.5,88.7,35.5,34.6,0.692,0.556,0.714,0.778,0.667,0.6,55.3,1,0
2012-2013,East,21,21,6,48,14,6,8,0.5,2.46,2.9,0.9,14.1,79.2,27.9,33.5,0.667,0.208,0.6,0.692,0.333,0.5,46.2,BUFFALO,,,,,,,,,,,,,,,,,,,0,0
2012-2013,East,19,25,4,42,19,13,6,0.438,2.67,3.27,0.68,20,81.5,26.9,29.4,0.6,0.174,0.688,0.8,0.294,0.483,46.6,CALGARY,,,,,,,,,,,,,,,,,,,0,0
2012-2013,West,19,25,4,42,18,8,10,0.438,2.65,3.31,0.86,14.6,77.6,32.2,32.2,0.579,0.276,0.692,0.933,0.435,0.375,50.2,CAROLINA,,,,,,,,,,,,,,,,,,,0,0
2012-2013,East,36,7,5,77,30,15,15,0.802,3.1,2.02,1.52,16.7,87.2,31.1,26.2,0.897,0.526,0.895,0.897,0.788,0.643,50.8,CHICAGO,23,16,7,2,2.78,2.09,1.39,11.4,90.8,34.2,29.4,0.786,0.556,0.778,1,0.8,0.5,46.8,1,1
2012-2013,West,16,25,7,39,14,12,2,0.406,2.38,3.12,0.83,15,80.3,29.5,31.4,0.563,0.219,0.7,0.643,0.304,0.333,51.1,COLORADO,,,,,,,,,,,,,,,,,,,0,0
2012-2013,West,24,17,7,55,19,12,7,0.573,2.4,2.4,1.04,14.2,82.6,26.7,29.9,0.6,0.429,0.727,1,0.538,0.484,52,COLUMBUS,,,,,,,,,,,,,,,,,,,0,0
2012-2013,West,22,22,4,48,20,10,10,0.5,2.67,2.94,1.01,17,81,26.3,31,0.696,0.24,0.737,0.706,0.5,0.441,47.2,DALLAS,,,,,,,,,,,,,,,,,,,0,0
2012-2013,West,24,16,8,56,22,13,9,0.583,2.54,2.29,1.1,18.4,81.7,30.1,27.5,0.64,0.348,0.643,0.857,0.438,0.667,50.8,DETROIT,14,7,7,2,2.36,2.64,1,14.3,77.6,29.8,33.1,0.833,0.25,1,0.833,0.667,0.4,53,1,0
2012-2013,West,19,22,7,45,17,8,9,0.469,2.56,2.73,0.9,20.1,83.4,26.8,32.8,0.5,0.292,0.688,0.75,0.727,0.314,46.1,EDMONTON,,,,,,,,,,,,,,,,,,,0,0
2012-2013,West,15,27,6,36,12,7,5,0.375,2.27,3.54,0.57,20.4,74.2,29.2,31.3,0.647,0.129,0.636,0.857,0.286,0.308,49.4,FLORIDA,18,9,9,3,2.06,1.89,0.92,17.3,87.7,25.6,29.3,0.727,0.143,0.667,0.857,0.5,0.5,48.2,1,0
2012-2013,East,27,16,5,59,25,17,8,0.615,2.73,2.38,1.09,19.9,83.2,29.8,25,0.808,0.273,0.938,0.864,0.576,0.533,52,LOS ANGELES,5,1,4,1,1.4,3.4,0.54,0,84.6,27.8,33.8,0,0.25,0,0,0.5,0,50.2,1,0
2012-2013,West,26,19,3,55,22,12,10,0.573,2.46,2.6,0.88,17.9,80.7,28.8,27.1,0.783,0.32,0.75,0.9,0.577,0.471,52.4,MINNESOTA,5,1,4,1,1.8,4,0.46,15.8,76,36,30.8,0.5,0,0,0.333,0.25,0,51.7,1,0
2012-2013,West,29,14,5,63,26,13,13,0.656,3.04,2.58,1.25,20.7,79.8,30.6,26.9,0.724,0.421,0.789,0.81,0.606,0.6,49.8,MONTREAL,,,,,,,,,,,,,,,,,,,0,0
2012-2013,East,16,23,9,41,14,11,3,0.427,2.27,2.77,0.91,17.1,75.5,25.9,27.8,0.611,0.167,0.636,0.8,0.368,0.269,49.7,NASHVILLE,,,,,,,,,,,,,,,,,,,0,0
2012-2013,West,19,19,10,48,17,11,6,0.5,2.29,2.54,0.86,15.9,81.1,28.4,23.1,0.737,0.172,0.727,0.75,0.457,0.25,48.2,NEW JERSEY,,,,,,,,,,,,,,,,,,,0,0
2012-2013,East,24,17,7,55,20,9,11,0.573,2.81,2.83,0.98,19.9,80.3,30.9,28.2,0.739,0.28,0.813,0.842,0.556,0.4,49.7,NY ISLANDERS,6,2,4,2,2.83,4.17,0.78,10,66.7,32.8,27.8,0.333,0.333,0,0,0.333,1,49.3,1,0
2012-2013,East,26,18,4,56,22,13,9,0.583,2.62,2.25,1.3,15.7,81.1,30.9,28.2,0.857,0.296,0.929,1,0.556,0.524,50,NY RANGERS,12,5,7,3,2.17,2.33,1.16,9.1,75,30.2,34.3,0.429,0.4,0.4,0.667,0.5,0.375,48,1,0
2012-2013,East,25,17,6,56,21,12,9,0.583,2.33,2.08,1.03,15.9,88,33.1,31.3,0.72,0.304,0.667,0.905,0.5,0.5,49.2,OTTAWA,10,5,5,0,3.1,3.1,1.11,18.2,79.6,32.4,37.7,0.75,0.333,0.667,1,0.5,0.5,49.5,1,0
2012-2013,East,23,22,3,49,22,14,8,0.51,2.75,2.9,0.86,21.6,85.9,29,28.6,0.692,0.227,0.765,0.85,0.52,0.45,48.5,PHILADELPHIA,,,,,,,,,,,,,,,,,,,0,0
2012-2013,East,21,18,9,51,17,12,5,0.531,2.52,2.6,1.06,14.8,79.9,30.9,30.6,0.737,0.241,0.813,0.938,0.478,0.391,52,PHOENIX,,,,,,,,,,,,,,,,,,,0,0
2012-2013,West,36,12,0,72,33,17,16,0.75,3.38,2.48,1.35,24.7,79.6,30,29.2,0.806,0.647,0.84,0.95,0.808,0.7,51.5,PITTSBURGH,15,8,7,2,3.27,2.67,0.97,21.3,92.3,33.3,32.7,0.714,0.375,0.833,0.875,0.429,0.5,49.7,1,0
2012-2013,East,25,16,7,57,17,12,5,0.594,2.42,2.33,1,20.1,85,31.8,29,0.8,0.217,0.824,0.833,0.571,0.438,53.4,SAN JOSE,11,7,4,0,2.27,2,1,22,76.7,31.9,27.2,1,0.2,1,1,0.714,0.5,55.8,1,0
2012-2013,West,29,17,2,60,24,13,11,0.625,2.58,2.38,1.04,19.5,84.7,27.8,24.2,0.793,0.316,0.789,0.905,0.586,0.611,50.7,ST LOUIS,6,2,4,1,1.67,2,0.78,11.8,86.7,29.5,24.8,0.5,0.25,1,0.5,0.25,0.5,52.9,1,0
2012-2013,West,18,26,4,40,17,11,6,0.417,3.06,3.06,1.08,19,80.6,27.6,30.2,0.684,0.172,0.813,0.786,0.389,0.37,51.2,TAMPA BAY,,,,,,,,,,,,,,,,,,,0,0
2012-2013,East,26,17,5,57,26,13,13,0.594,3.02,2.67,1.05,18.7,87.9,26.3,32.3,0.594,0.438,0.727,0.87,0.417,0.583,50,TORONTO,7,3,4,2,2.57,3.14,0.71,23.8,85,33.4,39,0.5,0.333,0,0.667,0,0.6,40,1,0
2012-2013,West,26,15,7,59,21,11,10,0.615,2.54,2.4,1.02,15.8,84,28.1,28.9,0.645,0.353,0.714,0.783,0.5,0.556,47.6,VANCOUVER,4,0,4,2,2,3.75,0.75,20,70.8,31.5,36.5,0,0,0,0,0,0,43.9,1,0
2012-2013,East,27,18,3,57,24,14,10,0.594,3.04,2.71,1.07,26.8,77.9,28.1,32.3,0.654,0.455,0.8,0.864,0.786,0.471,50.8,WASHINGTON,7,3,4,0,1.71,2.29,0.64,18.8,92.9,32.3,29.3,0.5,0.4,0,1,0.5,0.333,50.8,1,0
2012-2013,West,24,21,3,51,22,12,10,0.531,2.62,2.94,0.9,13.8,79.7,28.9,29.7,0.696,0.32,0.833,0.9,0.6,0.423,48.9,WINNIPEG(ATLANTA),,,,,,,,,,,,,,,,,,,0,0
2013-2014,West,54,20,8,116,51,28,23,0.707,3.21,2.48,1.39,16,82.2,31.3,28.7,0.738,0.575,0.813,0.93,0.633,0.759,49.2,ANAHEIM,13,7,6,1,2.69,2.85,0.8,24,84.9,26.8,29.7,0.833,0.286,0.8,1,0.333,0.556,46.6,1,0
2013-2014,East,54,19,9,117,51,30,21,0.713,3.15,2.08,1.53,21.7,83.6,31.9,29.1,0.837,0.394,0.793,0.911,0.609,0.733,51.6,BOSTON,12,7,5,1,2.5,2.17,1.2,26.5,77.8,33,29.1,1,0.167,1,1,0.5,0.667,53.4,1,0
2013-2014,East,21,51,10,52,14,9,5,0.317,1.83,2.96,0.59,14.1,81.4,26.3,34.3,0.29,0.235,0.333,0.667,0.214,0.231,46.8,BUFFALO,,,,,,,,,,,,,,,,,,,0,0
2013-2014,East,35,40,7,77,28,14,14,0.47,2.46,2.9,0.8,15.7,81.7,26.8,28.6,0.697,0.245,0.75,0.786,0.324,0.535,46.2,CALGARY,,,,,,,,,,,,,,,,,,,0,0
2013-2014,West,36,35,11,83,34,17,17,0.506,2.5,2.76,0.89,14.6,81.7,31.2,30.9,0.719,0.26,0.8,0.815,0.474,0.39,52.6,CAROLINA,,,,,,,,,,,,,,,,,,,0,0
2013-2014,East,46,21,15,107,40,24,16,0.652,3.18,2.58,1.27,19.5,81.4,33.1,27.2,0.791,0.308,0.852,0.868,0.552,0.583,52,CHICAGO,19,11,8,3,3.05,2.9,1.02,21,84.6,27.9,31.2,0.75,0.286,0.636,0.667,0.571,0.545,49.6,1,0
2013-2014,West,52,22,8,112,47,23,24,0.683,2.99,2.63,1.12,19.8,80.7,29.5,32.7,0.822,0.405,0.818,0.921,0.5,0.761,49.5,COLORADO,7,3,4,2,2.86,3.14,0.81,12,85.7,24.9,33.3,0.667,0.25,0,1,1,0.4,46.4,1,0
2013-2014,West,43,32,7,93,38,22,16,0.567,2.76,2.61,1.06,19.3,82.1,29.6,30.8,0.68,0.281,0.733,0.829,0.529,0.522,51.6,COLUMBUS,6,2,4,0,3,3.5,0.67,25.9,79.3,32.7,36.5,0,0.667,0,0,0.667,0,51.6,1,0
2013-2014,West,40,31,11,91,36,21,15,0.555,2.82,2.72,1.04,15.9,81.4,31.7,30.4,0.651,0.308,0.767,0.879,0.5,0.452,50.1,DALLAS,6,2,4,1,3,3.33,1.09,10.3,73.1,29.8,27.8,0.333,0.333,0.5,0.5,0.333,0.5,51.6,1,0
2013-2014,West,39,28,15,93,34,14,20,0.567,2.65,2.7,1.03,17.7,83,30,29.3,0.585,0.366,0.667,0.714,0.5,0.444,50.8,DETROIT,5,1,4,1,1.2,2.8,0.67,10,62.5,30.4,32.2,0.5,0,0,0,0,0.333,46.5,1,0
2013-2014,West,29,44,9,67,25,15,10,0.409,2.43,3.26,0.71,17,82.1,26.9,32.9,0.486,0.255,0.714,0.789,0.417,0.321,49,EDMONTON,,,,,,,,,,,,,,,,,,,0,0
2013-2014,West,29,45,8,66,21,11,10,0.402,2.29,3.2,0.83,10,76,29.9,31.1,0.567,0.231,0.75,0.938,0.389,0.318,48.3,FLORIDA,,,,,,,,,,,,,,,,,,,0,0
2013-2014,East,46,28,8,100,38,20,18,0.61,2.42,2.05,1.28,15.1,83.1,31.6,26.2,0.692,0.333,0.767,0.9,0.528,0.68,52.8,LOS ANGELES,26,16,10,2,3.38,2.69,1.29,23.5,83.3,32.3,30.1,0.833,0.429,0.8,0.9,0.588,0.667,52.9,1,1
2013-2014,West,43,27,12,98,35,23,12,0.598,2.43,2.42,1.15,17.9,78.8,26.6,27.7,0.738,0.3,0.769,0.844,0.417,0.541,50.9,MINNESOTA,13,6,7,3,2.69,2.69,1.13,13.2,84.2,30.5,24,0.714,0.167,0.667,0.667,0.5,0.333,52.6,1,0
2013-2014,West,46,28,8,100,40,23,17,0.61,2.55,2.45,0.99,17.2,85.1,28.4,31,0.822,0.243,0.821,0.921,0.607,0.52,49.6,MONTREAL,17,10,7,2,3,2.71,1.06,19.7,80.4,29.3,30.7,0.889,0.25,1,0.889,0.714,0.556,48.3,1,0
2013-2014,East,38,32,12,88,36,18,18,0.537,2.61,2.84,0.88,19.2,80.2,29,28.9,0.75,0.239,0.885,0.857,0.421,0.538,53.1,NASHVILLE,,,,,,,,,,,,,,,,,,,0,0
2013-2014,West,35,29,18,88,35,21,14,0.537,2.4,2.38,0.93,19.5,86.4,26.8,25.5,0.682,0.132,0.667,0.759,0.467,0.364,47,NEW JERSEY,,,,,,,,,,,,,,,,,,,0,0
2013-2014,East,34,37,11,79,25,10,15,0.482,2.63,3.18,0.83,17.8,78.1,30.9,30,0.5,0.354,0.556,0.556,0.375,0.432,47.2,NY ISLANDERS,,,,,,,,,,,,,,,,,,,0,0
2013-2014,East,45,31,6,96,41,18,23,0.585,2.61,2.32,1.07,18.2,85.3,33.2,29.4,0.816,0.318,0.769,0.903,0.537,0.591,48.8,NY RANGERS,25,13,12,4,2.56,2.4,1.1,12.6,85.4,29.3,30.2,0.688,0.222,0.714,0.846,0.455,0.538,47.4,1,0
2013-2014,East,37,31,14,88,30,15,15,0.537,2.79,3.15,0.95,18.4,80.9,32.8,34.7,0.65,0.262,0.607,0.774,0.387,0.5,51.2,OTTAWA,,,,,,,,,,,,,,,,,,,0,0
2013-2014,East,42,30,10,94,39,24,15,0.573,2.84,2.77,0.96,19.7,84.8,30.4,30.6,0.744,0.302,0.75,0.829,0.564,0.476,50,PHILADELPHIA,7,3,4,0,2.29,2.71,0.53,28.6,89.7,25.6,31.6,0.5,0.4,1,1,0,0.6,51.6,1,0
2013-2014,East,37,30,15,89,31,19,12,0.543,2.56,2.73,1,19.9,79,30.5,31,0.63,0.222,0.719,0.697,0.289,0.605,52,PHOENIX,,,,,,,,,,,,,,,,,,,0,0
2013-2014,West,51,24,7,109,44,25,19,0.665,2.95,2.49,1.05,23.4,85,29.9,28.8,0.841,0.368,0.893,0.861,0.614,0.629,51,PITTSBURGH,13,7,6,3,2.69,2.54,1.21,14.3,81.1,33.6,29.2,0.667,0.429,0.5,0.667,0.625,0.4,52.3,1,0
2013-2014,East,51,22,9,111,41,24,17,0.677,2.92,2.35,1.17,17.2,84.9,34.8,27.8,0.766,0.429,0.75,0.902,0.636,0.609,52.8,SAN JOSE,7,3,4,0,3.14,3.71,1,12.5,75,35.4,31.9,0.667,0.25,1,1,0.5,0.333,49.7,1,0
2013-2014,West,52,23,7,111,43,24,19,0.677,2.92,2.29,1.22,19.8,85.7,29.3,26.4,0.837,0.333,0.848,0.892,0.617,0.697,51.9,ST LOUIS,6,2,4,2,2.33,3.33,0.69,6.9,85,35.8,31,1,0,1,1,0.5,0,46.7,1,0
2013-2014,West,46,27,9,101,38,22,16,0.616,2.83,2.55,1.16,18.5,80.7,29.8,29.2,0.738,0.375,0.72,0.848,0.578,0.588,49.2,TAMPA BAY,4,0,4,1,2.5,4,0.54,28.6,84.6,26,34.5,0,0,0,0,0,0,51.3,1,0
2013-2014,East,38,36,8,84,29,17,12,0.512,2.71,3.07,0.92,19.8,78.4,27.9,35.9,0.675,0.262,0.737,0.897,0.533,0.462,48.3,TORONTO,,,,,,,,,,,,,,,,,,,0,0
2013-2014,West,36,35,11,83,31,19,12,0.506,2.33,2.63,0.93,15.2,83.2,30.8,28.4,0.553,0.341,0.652,0.75,0.4,0.472,51.4,VANCOUVER,,,,,,,,,,,,,,,,,,,0,0
2013-2014,East,38,30,14,90,28,15,13,0.549,2.74,2.79,0.9,23.4,82,29.4,33.5,0.667,0.25,0.64,0.857,0.5,0.431,48.4,WASHINGTON,,,,,,,,,,,,,,,,,,,0,0
2013-2014,West,37,35,10,84,29,13,16,0.512,2.67,2.82,0.95,15.4,83.2,30.7,30.1,0.6,0.34,0.75,0.76,0.426,0.471,46.9,WINNIPEG(ATLANTA),,,,,,,,,,,,,,,,,,,,
2014-2015,West,26,9,6,58,21,11,10,0.707,2.68,2.58,1.06,15.4,79.4,30.6,28.9,0.792,0.412,0.867,0.889,0.611,0.636,51.5,ANAHEIM,,,,,,,,,,,,,,,,,,,,
2014-2015,East,15,20,4,34,12,7,5,0.436,2.28,3.28,0.67,21.1,73.8,28.7,31.8,0.571,0.28,0.636,0.727,0.5,0.36,52.8,ARIZONA,,,,,,,,,,,,,,,,,,,,
2014-2015,East,19,15,6,44,17,12,5,0.55,2.55,2.6,1,18.5,79.8,30.1,29.4,0.632,0.333,0.714,0.857,0.6,0.294,53.1,BOSTON,,,,,,,,,,,,,,,,,,,,
2014-2015,East,14,24,3,31,8,6,2,0.378,1.76,3.39,0.6,9.7,75,23.3,35.3,0.688,0.12,0.714,0.75,0.75,0.294,45.3,BUFFALO,,,,,,,,,,,,,,,,,,,,
2014-2015,West,21,16,3,45,18,9,9,0.563,2.8,2.6,1.1,18.5,76.5,27.1,28,0.722,0.364,0.857,1,0.412,0.6,46.7,CALGARY,,,,,,,,,,,,,,,,,,,,
2014-2015,East,12,24,4,28,10,7,3,0.35,1.92,2.55,0.65,17.9,86.1,29.2,27.7,0.529,0.13,0.7,0.667,0.429,0.111,51.7,CAROLINA,,,,,,,,,,,,,,,,,,,,
2014-2015,West,26,12,2,54,21,12,9,0.675,2.98,2.15,1.25,18.7,90.1,35.9,29,0.81,0.474,0.929,1,0.69,0.6,52,CHICAGO,,,,,,,,,,,,,,,,,,,,
2014-2015,West,16,16,8,40,11,6,5,0.5,2.45,2.88,0.94,14,84.4,28.7,33.9,0.5,0.333,0.556,0.667,0.615,0.28,49.2,COLORADO,,,,,,,,,,,,,,,,,,,,
2014-2015,West,18,17,3,39,14,7,7,0.513,2.53,3.16,0.7,23.9,79.9,27.5,33.3,0.765,0.238,0.769,0.75,0.4,0.519,48.3,COLUMBUS,,,,,,,,,,,,,,,,,,,,
2014-2015,West,18,15,6,42,16,9,7,0.538,3.05,3.26,1.05,16.3,78.8,30.1,30.9,0.571,0.333,0.667,0.813,0.353,0.474,51.1,DALLAS,,,,,,,,,,,,,,,,,,,,
2014-2015,West,21,10,9,51,20,13,7,0.638,2.8,2.35,1.1,24.2,86.4,30.9,27.1,0.5,0.55,0.889,0.857,0.615,0.385,54.7,DETROIT,,,,,,,,,,,,,,,,,,,,
2014-2015,West,9,23,9,27,8,6,2,0.329,2.17,3.32,0.7,13.1,77.9,27.8,30.1,0.412,0.083,0.333,0.545,0.188,0.261,49,EDMONTON,,,,,,,,,,,,,,,,,,,,
2014-2015,East,17,11,9,43,12,7,5,0.581,2.22,2.49,1.03,13.9,80.5,31.5,30.1,0.688,0.286,0.818,0.9,0.455,0.467,49.4,FLORIDA,,,,,,,,,,,,,,,,,,,,
2014-2015,West,19,12,9,47,18,13,5,0.588,2.78,2.45,1.11,20.3,79.8,31.8,28.1,0.684,0.286,0.75,0.813,0.52,0.5,51.1,LOS ANGELES,,,,,,,,,,,,,,,,,,,,
2014-2015,West,18,15,5,41,16,9,7,0.539,2.76,2.87,0.95,14.8,84.8,31.3,27,0.619,0.294,0.667,0.733,0.5,0.444,49.4,MINNESOTA,,,,,,,,,,,,,,,,,,,,
2014-2015,East,26,12,2,54,21,13,8,0.675,2.62,2.3,1.27,14.2,85.6,27.4,30.4,0.941,0.435,0.833,0.947,0.647,0.619,54.6,MONTREAL,,,,,,,,,,,,,,,,,,,,
2014-2015,West,26,9,4,56,22,11,11,0.718,2.95,2.23,1.53,14.8,80.2,32.3,28.6,0.813,0.565,0.833,0.833,0.826,0.467,47.8,NASHVILLE,,,,,,,,,,,,,,,,,,,,
2014-2015,East,15,20,7,37,13,5,8,0.44,2.19,2.67,0.94,19.5,78.4,25.3,29.8,0.476,0.238,0.5,0.688,0.2,0.419,47.9,NEW JERSEY,,,,,,,,,,,,,,,,,,,,
2014-2015,East,26,13,1,53,20,11,9,0.663,2.92,2.78,1.03,19.9,76.5,32.5,27.2,0.583,0.75,0.563,0.8,0.75,0.417,48.3,NY ISLANDERS,,,,,,,,,,,,,,,,,,,,
2014-2015,East,21,11,4,46,19,12,7,0.639,3.08,2.39,1.28,20.4,82.6,30.1,27.9,0.739,0.308,0.824,0.938,0.545,0.615,46.5,NY RANGERS,,,,,,,,,,,,,,,,,,,,
2014-2015,East,16,15,8,40,13,8,5,0.513,2.56,2.64,0.96,16.6,82.6,29.4,33.1,0.375,0.467,0.455,0.7,0.333,0.423,47.1,OTTAWA,,,,,,,,,,,,,,,,,,,,
2014-2015,East,15,18,7,37,14,8,6,0.463,2.68,2.9,0.97,22,75,29.2,30.6,0.667,0.2,0.733,0.909,0.389,0.364,51,PHILADELPHIA,,,,,,,,,,,,,,,,,,,,
2014-2015,West,24,10,5,53,22,14,8,0.679,2.97,2.33,1.24,22.2,87.8,31,30.4,0.704,0.417,0.714,0.895,0.722,0.524,49.3,PITTSBURGH,,,,,,,,,,,,,,,,,,,,
2014-2015,East,22,14,5,49,20,10,10,0.598,2.71,2.54,0.95,20.7,81.2,31,29.2,0.75,0.333,0.833,0.813,0.5,0.611,51.4,SAN JOSE,,,,,,,,,,,,,,,,,,,,
2014-2015,West,24,13,3,51,21,12,9,0.638,3.02,2.42,1.18,25.7,79.6,31.5,27.6,0.773,0.389,0.765,0.813,0.625,0.5,53.9,ST LOUIS,,,,,,,,,,,,,,,,,,,,
2014-2015,West,26,12,4,56,25,15,10,0.667,3.26,2.52,1.34,18.7,81.8,29.9,26.8,0.727,0.5,0.786,0.95,0.63,0.615,49.5,TAMPA BAY,,,,,,,,,,,,,,,,,,,,
2014-2015,East,21,16,3,45,18,13,5,0.563,3.18,3.02,0.99,20.1,82.2,29.2,34.4,0.8,0.25,0.857,0.933,0.6,0.517,48.6,TORONTO,,,,,,,,,,,,,,,,,,,,
2014-2015,West,23,12,3,49,21,10,11,0.645,2.9,2.6,0.95,20.7,87.5,29.8,29.1,0.762,0.412,0.714,0.842,0.682,0.5,48.1,VANCOUVER,,,,,,,,,,,,,,,,,,,,
2014-2015,East,20,11,7,47,19,8,11,0.618,2.92,2.53,1.09,23.5,78.9,30.1,28.6,0.864,0.063,0.833,0.85,0.368,0.6,50.8,WASHINGTON,,,,,,,,,,,,,,,,,,,,
2014-2015,West,20,13,7,47,18,9,9,0.588,2.52,2.32,1.03,18,85.1,29.9,28.2,0.583,0.375,0.588,0.737,0.522,0.471,48.7,WINNIPEG(ATLANTA),,,,,,,,,,,,,,,,,,,,
